ID,Periods,Month,Year,Airport,CrossCountryFlights_1,TotalFlights_3,Scheduled_4,NonScheduled_5,TotalArrivalsFlights_6,Scheduled_7,NonScheduled_8,TotalDeparturesFlights_9,Scheduled_10,NonScheduled_11,TotalPassengers_12,Scheduled_13,NonScheduled_14,TotalArrivalsPassengers_15,Scheduled_16,NonScheduled_17,TotalDeparturesPassengers_18,Scheduled_19,NonScheduled_20,TotalCountryOfOriginDestination_21,EuropeTotal_22,EUCountries_23,OtherEurope_24,TotalIntercontinentalPassengers_25,Africa_26,NorthAfrica_27,WestAfrica_28,CentralAfrica_29,EastAfrica_30,SouthAfrica_31,America_32,NorthAmerica_33,CentralAmerica_34,SouthAmerica_35,Asia_36,WestAsia_37,SouthEastAsia_38,NorthEastAsia_39,Oceania_40
761,2017JJ00,2017,2017,Amsterdam Schiphol,508917,496739,475915,20824,248363,238169,10194,248376,237746,10630,68400387,65546324,2854063,34183827,32755883,1427944,34216560,32790441,1426119,68400387,48648583,40990319,7658264,19751804,2757309,786979,640175,90561,746227,493367,9789517,6641108,1682215,1466194,7204978,2554807,2055961,2594210,0
762,2018MM01,January,2018,Amsterdam Schiphol,37971,37113,36221,892,18551,18123,428,18562,18098,464,4908989,4825144,83845,2477411,2434350,43061,2431578,2390794,40784,4908989,3322876,2792907,529969,1586113,253991,61859,68379,7623,71796,44334,733448,439423,159102,134923,598674,198863,200566,199245,0
763,2018MM02,February,2018,Amsterdam Schiphol,35948,35069,34269,800,17535,17166,369,17534,17103,431,4741806,4660688,81118,2333281,2293973,39308,2408525,2366715,41810,4741806,3316805,2802166,514639,1425001,227227,55921,60380,6733,64219,39974,641702,376979,143252,121471,556072,182629,180872,192571,0
764,2018MM03,March,2018,Amsterdam Schiphol,41220,40059,39154,905,20019,19579,440,20040,19575,465,5559456,5470034,89422,2817115,2772650,44465,2742341,2697384,44957,5559456,3886460,3292053,594407,1672996,257361,71951,64794,6788,70100,43728,795271,511992,150881,132398,620364,212990,191275,216099,0
765,2018KW01,Q1,2018,Amsterdam Schiphol,115139,112241,109644,2597,56105,54868,1237,56136,54776,1360,15210251,14955866,254385,7627807,7500973,126834,7582444,7454893,127551,15210251,10526141,8887126,1639015,4684110,738579,189731,193553,21144,206115,128036,2170421,1328394,453235,388792,1775110,594482,572713,607915,0
766,2018MM04,April,2018,Amsterdam Schiphol,42901,41861,40487,1374,20933,20238,695,20928,20249,679,6016915,5847764,169151,2934838,2863160,71678,3082077,2984604,97473,6016915,4247799,3591583,656216,1769116,238004,73919,56906,5551,57896,43732,903740,632932,139769,131039,627372,217204,176696,233472,0
767,2018MM05,May,2018,Amsterdam Schiphol,45892,44742,42717,2025,22368,21366,1002,22374,21351,1023,6393936,6094242,299694,3236091,3088356,147735,3157845,3005886,151959,6393936,4617220,3895133,722087,1776716,217560,61622,48918,7162,57734,42124,962691,691099,137073,134519,596465,191259,174269,230937,0
768,2018MM06,June,2018,Amsterdam Schiphol,44775,43499,41649,1850,21748,20823,925,21751,20826,925,6377393,6106911,270482,3192260,3059699,132561,3185133,3047212,137921,6377393,4552594,3840755,711839,1824799,221629,56424,48162,7845,68184,41014,991079,723555,133962,133562,612091,195720,178626,237745,0
769,2018KW02,Q2,2018,Amsterdam Schiphol,133568,130102,124853,5249,65049,62427,2622,65053,62426,2627,18788244,18048917,739327,9363189,9011215,351974,9425055,9037702,387353,18788244,13417613,11327471,2090142,5370631,677193,191965,153986,20558,183814,126870,2857510,2047586,410804,399120,1835928,604183,529591,702154,0
770,2018MM07,July,2018,Amsterdam Schiphol,46761,45551,43317,2234,22779,21649,1130,22772,21668,1104,6765004,6430343,334661,3188416,3036334,152082,3576588,3394009,182579,6765004,4797829,4026378,771451,1967175,264113,82347,51425,8742,77168,44431,1031540,741174,142610,147756,671522,230359,191515,249648,0
771,2018MM08,August,2018,Amsterdam Schiphol,46648,45713,43366,2347,22856,21693,1163,22857,21673,1184,6836668,6462417,374251,3526769,3334833,191936,3309899,3127584,182315,6836668,4820950,4028082,792868,2015718,279210,98140,52748,9003,74350,44969,1044614,755913,142665,146036,691894,244056,191120,256718,0
772,2018MM09,September,2018,Amsterdam Schiphol,45341,44198,42252,1946,22101,21139,962,22097,21113,984,6396940,6109799,287141,3212601,3066366,146235,3184339,3043433,140906,6396940,4563606,3835449,728157,1833334,240643,73549,50866,7835,64895,43498,969446,696027,131439,141980,623245,202974,180637,239634,0
773,2018KW03,Q3,2018,Amsterdam Schiphol,138750,135462,128935,6527,67736,64481,3255,67726,64454,3272,19998612,19002559,996053,9927786,9437533,490253,10070826,9565026,505800,19998612,14182385,11889909,2292476,5816227,783966,254036,155039,25580,216413,132898,3045600,2193114,416714,435772,1986661,677389,563272,746000,0
774,2018MM10,October,2018,Amsterdam Schiphol,46170,45100,43390,1710,22549,21717,832,22551,21673,878,6402290,6185766,216524,3211073,3089665,121408,3191217,3096101,95116,6402290,4562671,3826613,736058,1839619,261075,77026,60275,6774,71122,45878,942167,660868,141800,139499,636377,208226,186368,241783,0
775,2018MM11,November,2018,Amsterdam Schiphol,39363,38382,37679,703,19193,18842,351,19189,18837,352,5296943,5232576,64367,2657363,2624650,32713,2639580,2607926,31654,5296943,3700208,3153475,546733,1596735,244210,65974,59319,6953,67643,44321,770229,497467,140476,132286,582296,185732,189625,206939,0
776,2018MM12,December,2018,Amsterdam Schiphol,39038,38157,37422,735,19084,18719,365,19073,18703,370,5260254,5194728,65526,2573846,2542715,31131,2686408,2652013,34395,5260254,3590638,3048012,542626,1669616,251163,66811,62358,7445,70521,44028,816561,519102,153675,143784,601892,200158,202731,199003,0
777,2018KW04,Q4,2018,Amsterdam Schiphol,124571,121639,118491,3148,60826,59278,1548,60813,59213,1600,16959487,16613070,346417,8442282,8257030,185252,8517205,8356040,161165,16959487,11853517,10028100,1825417,5105970,756448,209811,181952,21172,209286,134227,2528957,1677437,435951,415569,1820565,594116,578724,647725,0
778,2018JJ00,2018,2018,Amsterdam Schiphol,512028,499444,481923,17521,249716,241054,8662,249728,240869,8859,70956594,68620412,2336182,35361064,34206751,1154313,35595530,34413661,1181869,70956594,49979656,42132606,7847050,20976938,2956186,845543,684530,88454,815628,522031,10602488,7246531,1716704,1639253,7418264,2470170,2244300,2703794,0
779,2019MM01,January,2019,Amsterdam Schiphol,38009,37185,36490,695,18588,18241,347,18597,18249,348,4996131,4931277,64854,2520292,2487385,32907,2475839,2443892,31947,4996131,3373101,2856935,516166,1623030,251099,65528,63481,7115,72596,42379,771225,462521,163260,145444,600706,197945,198530,204231,0
780,2019MM02,February,2019,Amsterdam Schiphol,36127,35195,34768,427,17590,17378,212,17605,17390,215,4836332,4809123,27209,2386195,2372975,13220,2450137,2436148,13989,4836332,3383286,2874499,508787,1453046,222215,61188,51236,6866,63531,39394,678346,401645,145265,131436,552485,190308,171647,190530,0
781,2019MM03,March,2019,Amsterdam Schiphol,40748,39785,39404,381,19897,19706,191,19888,19698,190,5630314,5611942,18372,2847589,2837869,9720,2782725,2774073,8652,5630314,3947789,3361481,586308,1682525,242485,72829,56000,7125,63670,42861,835790,543295,153256,139239,604250,215944,178766,209540,0
782,2019KW01,Q1,2019,Amsterdam Schiphol,114884,112165,110662,1503,56075,55325,750,56090,55337,753,15462777,15352342,110435,7754076,7698229,55847,7708701,7654113,54588,15462777,10704176,9092915,1611261,4758601,715799,199545,170717,21106,199797,124634,2285361,1407461,461781,416119,1757441,604197,548943,604301,0
783,2019MM04,April,2019,Amsterdam Schiphol,42976,41892,41325,567,20940,20621,319,20952,20704,248,6104010,6072405,31605,2983771,2971595,12176,3120239,3100810,19429,6104010,4314805,3657659,657146,1789205,234673,77102,49749,6636,56495,44691,936294,660685,141074,134535,618238,223839,153991,240408,0
784,2019MM05,May,2019,Amsterdam Schiphol,45990,44706,43937,769,22352,21979,373,22354,21958,396,6441473,6367146,74327,3236047,3201298,34749,3205426,3165848,39578,6441473,4651471,3931201,720270,1790002,209237,54913,45509,7951,57177,43687,997494,726649,138900,131945,583271,199898,132977,250396,0
785,2019MM06,June,2019,Amsterdam Schiphol,44742,43348,42661,687,21676,21325,351,21672,21336,336,6502588,6428527,74061,3273870,3238290,35580,3228718,3190237,38481,6502588,4652003,3931186,720817,1850585,228331,65839,44209,8549,66581,43153,1027668,762961,134721,129986,594586,214493,130830,249263,0
786,2019KW02,Q2,2019,Amsterdam Schiphol,133708,129946,127923,2023,64968,63925,1043,64978,63998,980,19048071,18868078,179993,9493688,9411183,82505,9554383,9456895,97488,19048071,13618279,11520046,2098233,5429792,672241,197854,139467,23136,180253,131531,2961456,2150295,414695,396466,1796095,638230,417798,740067,0
787,2019MM07,July,2019,Amsterdam Schiphol,45936,44736,43906,830,22366,21937,429,22370,21969,401,6724023,6632971,91052,3166610,3127298,39312,3557413,3505673,51740,6724023,4758165,3992902,765263,1965858,254773,79437,46725,9217,74037,45357,1064565,777044,142481,145040,646520,243180,140403,262937,0
788,2019MM08,August,2019,Amsterdam Schiphol,46167,45122,44265,857,22558,22139,419,22564,22126,438,6810759,6704454,106305,3523240,3470359,52881,3287519,3234095,53424,6810759,4804762,4007196,797566,2005997,265412,88852,46264,8845,74963,46488,1080202,793609,143389,143204,660383,251293,144489,264601,0
789,2019MM09,September,2019,Amsterdam Schiphol,45302,44131,43318,813,22075,21677,398,22056,21641,415,6493468,6418556,74912,3252568,3215636,36932,3240900,3202920,37980,6493468,4649227,3910988,738239,1844241,239167,70998,45971,7239,68768,46191,998333,736288,131848,130197,606741,214544,137525,254672,0
790,2019KW03,Q3,2019,Amsterdam Schiphol,137405,133989,131489,2500,66999,65753,1246,66990,65736,1254,20028250,19755981,272269,9942418,9813293,129125,10085832,9942688,143144,20028250,14212154,11911086,2301068,5816096,759352,239287,138960,25301,217768,138036,3143100,2306941,417718,418441,1913644,709017,422417,782210,0
791,2019MM10,October,2019,Amsterdam Schiphol,45643,44502,43851,651,22251,21970,281,22251,21881,370,6431122,6388278,42844,3227860,3204241,23619,3203262,3184037,19225,6431122,4604704,3865499,739205,1826418,248898,75847,49117,6570,68932,48432,964346,684886,140033,139427,613174,225690,138445,249039,0
792,2019MM11,November,2019,Amsterdam Schiphol,38828,37800,37508,292,18901,18748,153,18899,18760,139,5323306,5314376,8930,2668379,2663742,4637,2654927,2650634,4293,5323306,3717038,3173596,543442,1606268,233782,67705,52026,6502,60374,47175,795614,504089,150620,140905,576872,211274,148528,217070,0
793,2019MM12,December,2019,Amsterdam Schiphol,39257,38425,38155,270,19213,19076,137,19212,19079,133,5386203,5375663,10540,2640064,2635208,4856,2746139,2740455,5684,5386203,3698397,3152275,546122,1687806,242028,70033,54524,7880,61255,48336,855812,550494,157646,147672,589966,222175,158395,209396,0
794,2019KW04,Q4,2019,Amsterdam Schiphol,123728,120727,119514,1213,60365,59794,571,60362,59720,642,17140631,17078317,62314,8536303,8503191,33112,8604328,8575126,29202,17140631,12020139,10191370,1828769,5120492,724708,213585,155667,20952,190561,143943,2615772,1739469,448299,428004,1780012,659139,445368,675505,0
795,2019JJ00,2019,2019,Amsterdam Schiphol,509725,496827,489588,7239,248407,244797,3610,248420,244791,3629,71679729,71054718,625011,35726485,35425896,300589,35953244,35628822,324422,71679729,50554748,42715417,7839331,21124981,2872100,850271,604811,90495,788379,538144,11005689,7604166,1742493,1659030,7247192,2610583,1834526,2802083,0
813,2021MM01,January,2021,Amsterdam Schiphol,15181,14666,14225,441,7317,7085,232,7349,7140,209,869129,866424,2705,463793,462271,1522,405336,404153,1183,869129,553464,396818,156646,315665,63849,17691,14618,1708,19003,10829,174464,82135,58028,34301,77352,37553,22350,17449,0
814,2021MM02,February,2021,Amsterdam Schiphol,11083,10655,10173,482,5328,5071,257,5327,5102,225,505194,503364,1830,253143,252115,1028,252051,251249,802,505194,327631,256374,71257,177563,35977,13126,6893,803,13061,2094,88342,35111,41780,11451,53244,24888,18262,10094,0
